_id,url,title,image_path,image_url,last_update,product_id,description_items,price,price_real,price_discount,off_percent,categories,main_category,category,subcategory
665a512723eec9aaf5f784f6,https://us.shein.com/1pc-Small-Animal-Volcanic-Mineral-Stone-Natural-Calcium-Supplement-For-Chewing-Pleasure-Suitable-For-Hamsters-Rabbits-And-Other-Small-Pets-p-29131323.html,"1pc Small Animal Volcanic Mineral Stone, Natural Calcium Supplement For Chewing Pleasure, Suitable For Hamsters, Rabbits, And Other Small Pets.",img/products/1714233647c87082638574b549defce1cab9421bc6_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/04/28/3e/1714233647c87082638574b549defce1cab9421bc6_thumbnail_220x293.webp,2024-05-31 19:37:27.749,sp2401116188758847,"{'color': 'grey', 'applicable pet': 'small animal', 'material': 'lava'}","From
$0.20
$1.20
-83%",1.2,0.2,-83.0,"['Pet Supplies', 'Small Animal Supplies', 'Small Pet Toys']",Pet Supplies,Small Animal Supplies,Small Pet Toys
665a512f23eec9aaf5f78500,https://us.shein.com/Adjustable-Colorful-Bell-Collar-For-Dogs-And-Cats-With-Paw-Print-Design-Stylish-And-Safe-Pet-Accessory-p-32125359.html,Adjustable Colorful Bell Collar For Dogs And Cats With Paw Print Design - Stylish And Safe Pet Accessory,img/products/1711447241fb256698b435093942433d831bcbf3e2_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/03/26/10/1711447241fb256698b435093942433d831bcbf3e2_thumbnail_220x293.webp,2024-05-31 19:37:35.310,sp2403216240691986,"{'color': 'multicolor', 'material': 'pp', 'applicable pet': 'cat'}","From
$0.46
$1.50
-69%",1.5,0.46,-69.0,"['Pet Supplies', 'Pet Collars, Leashes & Harnesses', 'Pet Collars']",Pet Supplies,"Pet Collars, Leashes & Harnesses",Pet Collars
665a514423eec9aaf5f7851a,https://us.shein.com/1pc-Pet-Finger-Toothbrush-Pet-Toothbrush-Silicone-Toothbrush-Puppy-Cat-Finger-Set-Brush-Finger-Pet-Toothbrush-Small-Size-Suitable-For-Dogs-And-Cats-p-27039216.html,1pc Pet Finger Toothbrush Pet Toothbrush Silicone Toothbrush Puppy Cat Finger Set Brush Finger Pet Toothbrush Small Size Suitable For Dogs And Cats,img/products/171505986145a527491ba8c935433b18d1ff923aec_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/05/07/41/171505986145a527491ba8c935433b18d1ff923aec_thumbnail_220x293.webp,2024-05-31 19:37:56.794,sp2311290700039941,"{'color': 'clear', 'material': 'silicone', 'applicable pet': 'cat/dog'}","From
$0.19
$1.30
-85%",1.3,0.19,-85.0,"['Pet Supplies', 'Pet Grooming', 'Pet Shower & Bath Accessories', 'Pet Toothbrush']",Pet Supplies,Pet Grooming,Pet Shower & Bath Accessories
665a516823eec9aaf5f7854a,https://us.shein.com/1pc-Pet-Grooming-Needle-Comb-With-Plastic-Handle-For-Dogs-And-Cats-p-29041683.html,1pc Pet Grooming Needle Comb With Plastic Handle For Dogs And Cats,img/products/1704270683e93380fb3f4eb27446334815e24a28b3_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/01/03/69/1704270683e93380fb3f4eb27446334815e24a28b3_thumbnail_220x293.webp,2024-05-31 19:38:32.602,sp2312305054877197,"{'color': 'white', 'material': 'plastic', 'applicable pet': 'cat/dog'}","$0.27
$1.60
-83%",1.6,0.27,-83.0,"['Pet Supplies', 'Pet Grooming', 'Pet Grooming Tools', 'Pet Hair Combs & Brushes']",Pet Supplies,Pet Grooming,Pet Grooming Tools
665a51b423eec9aaf5f785b0,https://us.shein.com/1-5pcs-Set-Fashionable-Simple-Moon-Star-Decor-Pet-Collars-With-Bell-Suitable-For-Daily-Wear-p-32341250.html,"1-5pcs/Set Fashionable Simple Moon & Star Decor Pet Collars With Bell, Suitable For Daily Wear",img/products/171541543869f224d192dbce6edd0378d9713c0a52_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/05/11/1b/171541543869f224d192dbce6edd0378d9713c0a52_thumbnail_220x293.webp,2024-05-31 19:39:48.810,sp2403199024757202,"{'color': 'black', 'pattern type': 'animal, geometric', 'material': 'polypropylene', 'applicable pet': 'cat/dog'}","$0.32
$1.40
-77%",1.4,0.32,-77.0,"['Pet Supplies', 'Pet Collars, Leashes & Harnesses', 'Pet Collars', '1-5pcs']",Pet Supplies,"Pet Collars, Leashes & Harnesses",Pet Collars
665a51b923eec9aaf5f785b5,https://us.shein.com/Pet-Supplies-Teeth-Grinding-Cleaning-Self-Entertainment-Plush-Five-Pointed-Star-Shaped-Sound-Toy-For-Dogs-p-28575940.html,Pet Supplies Teeth Grinding & Cleaning Self-Entertainment Plush Five-Pointed Star Shaped Sound Toy For Dogs,img/products/17035858042d3c18f8da0a013d58f6cc8c4a5829d1_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2023/12/26/d9/17035858042d3c18f8da0a013d58f6cc8c4a5829d1_thumbnail_220x293.webp,2024-05-31 19:39:53.831,sp2312269977703752,"{'color': 'green', 'material': 'polyester', 'applicable pet': 'cat/dog', 'composition': '100% polyester'}","$0.32
$1.40
-77%",1.4,0.32,-77.0,"['Pet Supplies', 'Pet Toys', 'Pet Plush Toys']",Pet Supplies,Pet Toys,Pet Plush Toys
665a51e723eec9aaf5f785e6,https://us.shein.com/1pc-Houndstooth-Pattern-Bow-Pet-Collar-With-Traction-Buckle-For-Decoration-Neck-Circumference-22-5-32-Cm-p-30272081.html,1pc Houndstooth Pattern Bow Pet Collar With Traction Buckle For Decoration(Neck Circumference 22.5-32 Cm),img/products/1704858134205f53ea01e329c50674b568c3f9db56_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/01/10/eb/1704858134205f53ea01e329c50674b568c3f9db56_thumbnail_220x293.webp,2024-05-31 19:40:39.361,sp2402182224832214,"{'color': 'baby blue', 'material': 'polyamide', 'applicable pet': 'cat/dog'}","$0.34
$1.50
-77%",1.5,0.34,-77.0,"['Pet Supplies', 'Pet Collars, Leashes & Harnesses', 'Pet Collars']",Pet Supplies,"Pet Collars, Leashes & Harnesses",Pet Collars
665a52d423eec9aaf5f786f7,https://us.shein.com/1pc-Pet-Car-Seat-Belt-Lead-Clip-Safety-Lever-Traction-Retractable-Leash-Cat-Dog-Harness-Dog-Leash-Dog-Collars-Dogs-Accessoires-p-29803185.html,1pc Pet Car Seat Belt Lead Clip Safety Lever Traction Retractable Leash Cat Dog Harness Dog Leash Dog Collars Dogs Accessoires,img/products/1706260980dcd28cc2deb720c1236499828f37fe34_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2024/01/26/70/1706260980dcd28cc2deb720c1236499828f37fe34_thumbnail_220x293.webp,2024-05-31 19:44:36.572,sp2401268240844231,"{'color': 'pink', 'applicable pet': 'cat/dog', 'material': 'polyester'}","$0.41
$1.80
-77%",1.8,0.41,-77.0,"['Pet Supplies', 'Pet Outdoor Gear', 'Pet Seat Belts']",Pet Supplies,Pet Outdoor Gear,Pet Seat Belts
665a52e123eec9aaf5f78705,https://us.shein.com/5pcs-Black-Printing-Footprint-Garbage-Bags-Size-30-22cm-p-28580236.html,5pcs Black Printing Footprint Garbage Bags (Size 30*22cm),img/products/16978789514ba77de1cebb5f2e992aad491faa4e8b_thumbnail_220x293.webp,https://img.ltwebstatic.com/images3_spmp/2023/10/21/24/16978789514ba77de1cebb5f2e992aad491faa4e8b_thumbnail_220x293.webp,2024-05-31 19:44:49.880,sp2312281633976885,"{'color': 'black', 'material': 'pe', 'applicable pet': 'cat/dog'}","$0.41
$2.60
-84%",2.6,0.41,-84.0,"['Pet Supplies', 'Pet Cleaning', 'Pet Poopbags']",Pet Supplies,Pet Cleaning,Pet Poopbags
665a52e923eec9aaf5f7870a,https://us.shein.com/1pc-Blue-Bath-Brush-Pet-Bath-Brush-p-25984146.html,"1pc Blue Bath Brush, Pet Bath Brush",img/products/16985844685f333b2d99c1931d58d8c88a32c46805.webp,https://img.ltwebstatic.com/images3_spmp/2023/10/29/75/16985844685f333b2d99c1931d58d8c88a32c46805.webp,2024-05-31 19:44:57.276,sp2310295442085683,"{'color': 'blue', 'pattern type': 'cartoon', 'material': 'silicone', 'applicable pet': 'cat/dog'}","$0.41
$2.60
-84%",2.6,0.41,-84.0,"['Pet Supplies', 'Pet Health Care', 'Pet Health Care Tools']",Pet Supplies,Pet Health Care,Pet Health Care Tools
